"STUDY (ASN)","PRIOR ASN","STATUS","DETERMINATION","ENTERED DATE","RECEIVED DATE","COMPLETION DATE","EXPIRATION DATE","LATITUDE","LONGITUDE","SURVEY_ACCURACY","MARKING LIGHTING TYPE","MARKING LIGHTING TYPE OTHER","STRUCTURE NAME","STRUCTURE CITY","STRUCTURE COUNTY NAME","STRUCTURE COUNTY ID","STRUCTURE STATE","NEAREST AIRPORT","DISTANCE FROM AIRPORT","DIRECTION FROM AIRPORT","ON AIRPORT","PROPOSAL DESCRIPTION","LOCATION DESCRIPTION","NOTICE OF","DURATION","DURATION DAYS","DURATION MONTHS","WORK SCHEDULE BEGINNING DATE","WORK SCHEDULE ENDING DATE","DATE BUILT","FCC NUMBER","STRUCTURE TYPE","AGL HEIGHT DET","AGL HEIGHT DNE","AGL HEIGHT PROPOSED","ELEVATION","AMSL HEIGHT DET","AMSL HEIGHT DNE","AMSL HEIGHT PROPOSED","REPRESENTATIVE NAME ","SPONSOR NAME ","SIGNATURE CONTROL NUMBER ","FREQUENCY_JSON "
"2025-AAL-1-NRA","2024-AAL-53-NRA","Determined - No Hazard","To Proponent","2025-01-03","2025-01-03","2025-02-26","2026-10-31","70.19859722","-148.48376944","4D","","","","DEADHORSE","North Slope","185.0","AK","DEADHORSE","0.0","","Y","Request the use of temporary equipment to improve Deadhorse Airport. Closures and outages according to the CSPP. Submitted cases outline the entire work area. rnQAP will be working on a fence and embankment surrounding Deadhorse Airport. QAP will also be working on TWY A  TWY B  TWY D  TWY E  TWY F  the ARFF TWY  the Alaska Airlines TWY  the gravel TWY connecting to TWY F from the East  and placing fill in the infield areas of these taxiways including work within the ROFA. QAP will also be construction a temporary TWY between TWY A and the Alaska Airlines apron. QAP will also be working on Deadhorse Drive.rnrnWork on airport will last 28 months. Form will be renewed after 18 months.","","New Construction","Temporary","0.0","18.0","2025-06-01","2027-10-31","","","CONSTRUCTION$VEHICLE","","","25.0","68.0","","","93.0","QAP","Colaska dba QAP","",""
"2025-AAL-1-OE","","Determined - No Hazard","No Hazard","2025-01-03","2025-01-03","2025-01-29","2026-07-29","70.17278056","-148.58138889","4D","Red lights and flags","","P&A Rig","Deadhorse","North Slope","185.0","AK","DEADHORSE","16522.0","240.9","","Use of ice road for transportation between Deadhorse and wellsite for well plug and abandon (P&amp;amp;amp;amp;A) activities. A 108 foot coil unit will be used for P&amp;amp;A operations. See Project Summary page for more.","2.8 miles SW of SCC","New Construction","Temporary","0.0","3.0","2025-02-01","2025-04-30","","","CRANE$MOBILE","108.0","","108.0","66.0","174.0","","174.0","ASRC Consulting & Environmental","ASRC Consulting and Environmental Services, LLC","643220104-645638838",""
"2025-AAL-2-NRA","2024-AAL-53-NRA","Determined - No Hazard","To Proponent","2025-01-03","2025-01-03","2025-02-26","2026-10-31","70.20355","-148.43050278","4D","","","","DEADHORSE","North Slope","185.0","AK","DEADHORSE","0.0","","Y","Request the use of temporary equipment to improve Deadhorse Airport. Closures and outages according to the CSPP. Submitted cases outline the entire work area. rnQAP will be working on a fence and embankment surrounding Deadhorse Airport. QAP will also be working on TWY A  TWY B  TWY D  TWY E  TWY F  the ARFF TWY  the Alaska Airlines TWY  the gravel TWY connecting to TWY F from the East  and placing fill in the infield areas of these taxiways including work within the ROFA. QAP will also be construction a temporary TWY between TWY A and the Alaska Airlines apron. QAP will also be working on Deadhorse Drive.rnrnWork on airport will last 28 months. Form will be renewed after 18 months.","","New Construction","Temporary","0.0","18.0","2025-06-01","2027-10-31","","","CONSTRUCTION$VEHICLE","","","25.0","68.0","","","93.0","QAP","Colaska dba QAP","",""
"2025-AAL-2-OE","","Determined - No Hazard","No Hazard","2025-01-03","2025-01-03","2025-01-29","2026-07-29","70.20681667","-148.47683611","4D","","","P&A access ice road","Deadhorse","North Slope","185.0","AK","DEADHORSE","4647.0","341.8","","Construction of a 4 mi ice road for winter access to an orphan well and pad site  to carry out plug and abandon activities.","4 mile ice road beginning from Airport Way road on Lake Colleen  just north of SCC. Runs west 2 mi  turns SW for 2 mi to work site.","New Construction","Temporary","0.0","3.0","2025-02-01","2025-04-30","","","TRAVERSE_WAY$PRIVATE_ROAD","12.0","","12.0","52.0","64.0","","64.0","ASRC Consulting & Environmental","ASRC Consulting and Environmental Services, LLC","643220105-645639540",""
"2025-AAL-3-NRA","2024-AAL-53-NRA","Determined - No Hazard","To Proponent","2025-01-03","2025-01-03","2025-02-26","2026-10-31","70.20151667","-148.42068889","4D","","","","DEADHORSE","North Slope","185.0","AK","DEADHORSE","0.0","","Y","Request the use of temporary equipment to improve Deadhorse Airport. Closures and outages according to the CSPP. Submitted cases outline the entire work area. rnQAP will be working on a fence and embankment surrounding Deadhorse Airport. QAP will also be working on TWY A  TWY B  TWY D  TWY E  TWY F  the ARFF TWY  the Alaska Airlines TWY  the gravel TWY connecting to TWY F from the East  and placing fill in the infield areas of these taxiways including work within the ROFA. QAP will also be construction a temporary TWY between TWY A and the Alaska Airlines apron. QAP will also be working on Deadhorse Drive.rnrnWork on airport will last 28 months. Form will be renewed after 18 months.","","New Construction","Temporary","0.0","18.0","2025-06-01","2027-10-31","","","CONSTRUCTION$VEHICLE","","","25.0","68.0","","","93.0","QAP","Colaska dba QAP","",""
"2025-AAL-3-OE","","Determined - No Hazard","No Hazard","2025-01-07","2025-01-07","2025-03-04","2026-09-04","61.26091667","-149.77857222","4D","","","Soil gas monitoring well","Anchorage","Anchorage","20.0","AK","ELMENDORF AFB","6038.0","54.6","","This project will install  survey  and sample soil gas monitoring wells as 15 locations north of Hangar 15. The most demanding location is entered above.","The location is on JBER  Anchorage  AK. The site is in the NE quadrant of the field  north of Hangar 15.","New Construction","Temporary","0.0","6.0","2025-04-15","2025-10-15","","","CONSTRUCTION$VEHICLE","12.0","","12.0","224.0","236.0","","236.0","673 CIVIL ENGINEER SQ","673 CIVIL ENGINEER SQ","643479111-649251114",""
"2025-AAL-4-NRA","2024-AAL-53-NRA","Determined - No Hazard","To Proponent","2025-01-03","2025-01-03","2025-02-26","2026-10-31","70.19372778","-148.42824167","4D","","","","DEADHORSE","North Slope","185.0","AK","DEADHORSE","0.0","","Y","Request the use of temporary equipment to improve Deadhorse Airport. Closures and outages according to the CSPP. Submitted cases outline the entire work area. rnQAP will be working on a fence and embankment surrounding Deadhorse Airport. QAP will also be working on TWY A  TWY B  TWY D  TWY E  TWY F  the ARFF TWY  the Alaska Airlines TWY  the gravel TWY connecting to TWY F from the East  and placing fill in the infield areas of these taxiways including work within the ROFA. QAP will also be construction a temporary TWY between TWY A and the Alaska Airlines apron. QAP will also be working on Deadhorse Drive.rnrnWork on airport will last 28 months. Form will be renewed after 18 months.","","New Construction","Temporary","0.0","18.0","2025-06-01","2027-10-31","","","CONSTRUCTION$VEHICLE","","","25.0","68.0","","","93.0","QAP","Colaska dba QAP","",""
"2025-AAL-4-OE","","Determined - No Hazard","No Hazard","2025-01-07","2025-01-07","2025-03-04","2026-09-04","61.26221111","-149.8015","4D","","","OCR groundwater monitoring","Anchorage","Anchorage","20.0","AK","ELMENDORF AFB","4067.0","12.6","","This project drills and installs ground water monitoring wells on the airfield at two locations adjacent to hangar 21.","The site is located on JBER  Anchorage  AK. Work is adjacent to a hangar that is significantly taller than equipment.","New Construction","Temporary","0.0","6.0","2025-04-15","2025-10-15","","","CONSTRUCTION$OTHER","12.0","","12.0","210.0","222.0","","222.0","673 CIVIL ENGINEER SQ","673 CIVIL ENGINEER SQ","643479213-649251112",""
"2025-AAL-5-NRA","2024-AAL-53-NRA","Determined - No Hazard","To Proponent","2025-01-03","2025-01-03","2025-02-26","2026-10-31","70.18673889","-148.50362222","4D","","","","DEADHORSE","North Slope","185.0","AK","DEADHORSE","0.0","","Y","Request the use of temporary equipment to improve Deadhorse Airport. Closures and outages according to the CSPP. Submitted cases outline the entire work area. rnQAP will be working on a fence and embankment surrounding Deadhorse Airport. QAP will also be working on TWY A  TWY B  TWY D  TWY E  TWY F  the ARFF TWY  the Alaska Airlines TWY  the gravel TWY connecting to TWY F from the East  and placing fill in the infield areas of these taxiways including work within the ROFA. QAP will also be construction a temporary TWY between TWY A and the Alaska Airlines apron. QAP will also be working on Deadhorse Drive.rnrnWork on airport will last 28 months. Form will be renewed after 18 months.","","New Construction","Temporary","0.0","18.0","2025-06-01","2027-10-31","","","CONSTRUCTION$VEHICLE","","","25.0","68.0","","","93.0","QAP","Colaska dba QAP","",""
"2025-AAL-5-OE","","Determined - No Hazard","No Hazard","2025-01-07","2025-01-07","2025-03-04","2026-09-04","61.26324167","-149.80928889","4D","","","OCR groundwater monitoring","Anchorage","Anchorage","20.0","AK","ELMENDORF AFB","4374.0","353.6","","This project drills and installs ground water monitoring wells on the airfield at two locations adjacent to hangar 21.","The site is located on JBER  Anchorage  AK. Work is adjacent to a hangar that is significantly taller than equipment.","New Construction","Temporary","0.0","6.0","2025-04-15","2025-10-15","","","CONSTRUCTION$OTHER","12.0","","12.0","207.0","219.0","","219.0","673 CIVIL ENGINEER SQ","673 CIVIL ENGINEER SQ","643479214-649251120",""
